Time	STIBOR 1W	SE GVB 10Y
2007-02	3,2738	3,9265
2007-03	3,40	3,7939
2007-04	3,40	4,0434
2007-05	3,4018	4,1529
2007-06	3,5509	4,4395
2007-07	3,65	4,4495
2007-08	3,6501	4,248
2007-09	3,9154	4,216
2007-10	3,9807	4,3143
2007-11	4,2245	4,2154
2007-12	4,324	4,3082
2008-01	4,2584	4,0823
2008-02	4,3864	4,0156
2008-03	4,5755	3,9157
2008-04	4,5394	4,0635
2008-05	4,4648	4,181
2008-06	4,5029	4,4277
2008-07	4,6612	4,3746
2008-08	4,6883	4,1137
2008-09	5,0717	3,9013
2008-10	4,9043	3,5671
2008-11	4,0072	3,343
2008-12	2,4875	2,6662
2009-01	2,0919	2,7976
2009-02	1,5248	2,9287
2009-03	1,155	2,9377
2009-04	0,8977	3,1793
2009-05	0,6545	3,5678
2009-06	0,6528	3,6216
2009-07	0,4188	3,3697
2009-08	0,4003	3,4455
2009-09	0,3606	3,3772
2009-10	0,3503	3,2545
2009-11	0,35	3,2742
2009-12	0,35	3,2386
2010-01	0,35	3,3698
2010-02	0,3488	3,2821
2010-03	0,3515	3,197
2010-04	0,3606	3,1398
2010-05	0,3683	2,726
2010-06	0,3756	2,607
2010-07	0,6142	2,7027
2010-08	0,6407	2,448
2010-09	0,8724	2,5268
2010-10	1,0943	2,6388
2010-11	1,2485	2,8567
2010-12	1,3772	3,2055
2011-01	1,52	3,281
2011-02	1,7543	3,4076
2011-03	1,9721	3,3518
2011-04	1,9663	3,3035
2011-05	2,081	3,0146
2011-06	2,0818	2,8843
2011-07	2,2191	2,7546
2011-08	2,2104	2,1658
2011-09	2,2579	1,829
2011-10	2,2548	1,9028
2011-11	2,2572	1,6922
2011-12	2,2351	1,6769
2012-01	2,0705	1,7046
2012-02	1,9271	1,8862
2012-03	1,76	1,9464
2012-04	1,7319	1,8237
2012-05	1,7176	1,5111
2012-06	1,7571	1,4502
2012-07	1,7258	1,3332
2012-08	1,7147	1,4357
2012-09	1,4805	1,5082
2012-10	1,3813	1,541
2012-11	1,3551	1,4592
2012-12	1,288	1,5066
2013-01	1,107	1,7987
2013-02	1,0857	1,9987
2013-03	1,1035	1,9224
2013-04	1,0976	1,6568
2013-05	1,0909	1,791
2013-06	1,1026	2,0459
2013-07	1,063	2,1605
2013-08	1,0496	2,3406
2013-09	1,0559	2,6018
2013-10	1,0669	2,4352
2013-11	1,0615	2,2977
2013-12	0,9484	2,3864
2014-01	0,812	2,3707
2014-02	0,8019	2,2278
2014-03	0,7936	2,1613
2014-04	0,7767	2,0595
2014-05	0,8137	1,8781
2014-06	0,8085	1,8032
2014-07	0,3667	1,5957
2014-08	0,3043	1,5799
2014-09	0,3146	1,5132
2014-10	0,2681	1,2987
2014-11	0,1045	1,136
2014-12	0,1102	1,0083
2015-01	0,0846	0,7812
2015-02	-0,0031	0,6153
2015-03	-0,0725	0,5827
2015-04	-0,2201	0,3432
2015-05	-0,2762	0,7454
2015-06	-0,2618	0,9918
2015-07	-0,3195	0,8148
2015-08	-0,3261	0,6635
2015-09	-0,3602	0,7077
2015-10	-0,3683	0,661
2015-11	-0,3304	0,8031
2015-12	-0,5162	0,9323
2016-01	-0,3793	1,0204
2016-02	-0,4628	0,769
2016-03	-0,5411	0,8235
2016-04	-0,5388	0,8113
2016-05	-0,5472	0,7737
2016-06	-0,5635	0,5206
2016-07	-0,5819	0,167
2016-08	-0,5881	0,097
2016-09	-0,5387	0,219
2016-10	-0,554	0,2394
2016-11	-0,5292	0,4294
2016-12	-0,6316	0,6057
2017-01	-0,576	0,6453
2017-02	-0,5502	0,6636
2017-03	-0,547	0,6935
2017-04	-0,5297	0,5704
2017-05	-0,5163	0,5632
2017-06	-0,5339	0,4605
2017-07	-0,5336	0,664
2017-08	-0,5229	0,6307
2017-09	-0,5204	0,6247
2017-10	-0,5134	0,8271
2017-11	-0,5022	0,7571
2017-12	-0,5126	0,7196
2018-01	-0,52	0,8487
2018-02	-0,525	0,9142
2018-03	-0,5208	0,7703
2018-04	-0,5229	0,711
2018-05	-0,5148	0,6555
2018-06	-0,5016	0,5521
2018-07	-0,5009	0,5068
2018-08	-0,5017	0,5164
2018-09	-0,5083	0,5978
